address,company,detail,position
杭州,阿里,3年以上 | 全职,阿里集团-安全部-移动PC高级安全工程师-杭州
杭州,阿里,5年以上 | 全职,企业智能事业部-音视频媒体服务器高级技术专家-杭州
杭州,阿里,5年以上 | 全职,企业智能事业部-高级产品专家-杭州
杭州,阿里,5年以上 | 全职,政务钉钉事业部-高级项目经理-杭州
杭州,阿里,5年以上 | 全职,平头哥-芯片验证专家-IO-上海
杭州,阿里,5年以上 | 全职,菜鸟-物流服务体验运营专家
成都,阿里,本科以上 | 2年以上 | 全职 | 24.0-60.0万元,高级开发工程师
Beijing,阿里,本科以上 | 10年以上 | 全职 | 84.0-120.0万元,资深高级产品专家
大连,阿里,5年以上 | 全职,ICBU-中国供应商-渠道专家
杭州,阿里,本科以上 | 3-5年 | 全职 | 25000-50000元,高级java工程师 专家
深圳,阿里,本科以上 | 3-5年 | 全职 | 25000-50000元,国际化中台-快速通道
--,阿里,本科以上 | 6年以上 | 全职,盒马-工坊研发专家-上海 广州 深圳 Beijing 南京 武汉 重庆 青岛 长沙
西安,华为,本科以上 | 5年以上 | 全职,单板硬件高级工程师
南京,华为,本科以上 | 3年以上 | 全职,h5前端开发工程师
成都,华为,本科以上 | 1-3年 | 全职 | 15000-20000元,通用软件开发工程师
杭州,华为,本科以上 | 8年以上 | 全职,云渲染软件技术专家
南京,华为,本科以上 | 3年以上 | 全职,AI工程师
成都,华为,本科以上 | 3-5年 | 全职 | 17000-34000元,通用软件工程师
南京,华为,本科以上 | 5-10年 | 全职 | 35000-70000元,高级java工程师
东莞,华为,大专以上 | 5年以上 | 全职,不动产及综合设施管理专家-798094749947
上海,华为,本科以上 | 3年以上 | 全职,Smart WiFi软件工程师-798098979962
深圳,华为,本科以上 | 3年以上 | 全职 | 21.6-43.2万元,硬件开发工程师
杭州,华为,本科以上 | 全职 | 20000-35000元,虚拟网络 存储开发工程师
深圳,华为,本科以上 | 应届毕业生 | 全职 | 21.0-42.0万元,北美澳应届留学生招聘-行销岗位
武汉,华为,本科以上 | 4年以上 | 全职,安全渗透专家
武汉,华为,本科以上 | 4年以上 | 全职,通用软件工程师
Beijing,华为,硕士以上 | 全职,5GLTE 基带算法工程师
